PSNU,lat,lon
ec Alfred Nzo District Municipality,-30.66790192,29.15473041
ec Amathole District Municipality,-32.5584622,27.45759868
ec Buffalo City Metropolitan Municipality,-32.94953535,27.61065951
ec Chris Hani District Municipality,-31.7903451,26.43964983
ec Joe Gqabi District Municipality,-30.94190907,27.0603583
ec Nelson Mandela Bay Municipality,-33.80173137,25.49155681
ec Oliver Tambo District Municipality,-31.46785207,29.05167382
ec Sarah Baartman District Municipality,-33.06283159,24.77508926
fs Fezile Dabi District Municipality,-27.33923009,27.71944357
fs Lejweleputswa District Municipality,-28.23977639,26.12649892
fs Mangaung Metropolitan Municipality,-29.15625964,26.35132435
fs Thabo Mofutsanyane District Municipality,-28.24350043,28.34098542
fs Xhariep District Municipality,-29.84303488,25.83277161
gp City of Johannesburg Metropolitan Municipality,-26.17672481,27.96355574
gp City of Tshwane Metropolitan Municipality,-25.65985253,28.44361061
gp Ekurhuleni Metropolitan Municipality,-26.19879936,28.31249219
gp Sedibeng District Municipality,-26.5667937,28.1827864
gp West Rand District Municipality,-26.24559606,27.55538961
kz Amajuba District Municipality,-27.7355418,30.13548703
kz eThekwini Metropolitan Municipality,-29.80583369,30.85042847
kz Harry Gwala District Municipality,-30.11066987,29.66015351
kz iLembe District Municipality,-29.27332534,31.14171017
kz King Cetshwayo District Municipality,-28.70018909,31.51432169
kz Ugu District Municipality,-30.54364914,30.27533283
kz uMgungundlovu District Municipality,-29.50924492,30.19861914
kz Umkhanyakude District Municipality,-27.61773918,32.3008743
kz Umzinyathi District Municipality,-28.58559712,30.55881462
kz Uthukela District Municipality,-28.71918814,29.65793563
kz Zululand District Municipality,-27.81129756,31.2943867
lp Capricorn District Municipality,-23.48154229,29.18335787
lp Mopani District Municipality,-23.76662488,30.83614371
lp Sekhukhune District Municipality,-24.82802655,29.83799987
lp Vhembe District Municipality,-22.75463633,30.19386889
lp Waterberg District Municipality,-24.20531875,27.97858238
mp Ehlanzeni District Municipality,-25.04921007,31.25436882
mp Gert Sibande District Municipality,-26.67088441,29.93001741
mp Nkangala District Municipality,-25.71225581,29.42441696
nc Frances Baard District Municipality,-28.3001759,24.38194205
nc John Taolo Gaetsewe District Municipality,-27.04565296,23.04734308
nc Namakwa District Municipality,-30.53726001,19.43062061
nc Pixley ka Seme District Municipality,-30.28921518,23.25818659
nc Zwelentlanga Fatman Mgcawu District Municipality,-28.00051536,21.18491127
nw Bojanala Platinum District Municipality,-25.42609016,27.22420691
nw Dr Kenneth Kaunda District Municipality,-26.80677135,26.56934029
nw Dr Ruth Segomotsi Mompati District Municipality,-26.63769004,24.27489752
nw Ngaka Modiri Molema District Municipality,-25.95562397,25.80790319
wc Cape Winelands District Municipality,-33.32255412,19.68998917
wc Central Karoo District Municipality,-32.62813435,22.21190404
wc City of Cape Town Metropolitan Municipality,-33.89102539,18.5932818
wc Eden District Municipality,-33.81874786,22.01137952
wc Overberg District Municipality,-34.25811991,19.94210656
wc West Coast District Municipality,-32.09449241,18.62767303
